"","IndicatorID","GridID","UnitID","NSTC100","Period","ES","SD","N","N_OBS","GTC","STC","CategoryID","Name","Code","Parameters","Units","YearMin","YearMax","MonthMin","MonthMax","DepthMin","DepthMax","Metric","Response","Applied","Comments","ACDEV","GTC_HM","GTC_ML","STC_HM","STC_ML","GSC_HM","GSC_ML","SSC_HM","SSC_ML","IW","ET","EQR_HG","EQR_GM","EQR_MP","EQR_PB","W"
"235",1,1469,46,NA,20062013,6.7925,0.523061045331094,8,12,0,0,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,10.11657854,NA,NA,NA,NA,NA
"236",1,1470,46,NA,20062014,7.31717171717172,1.12776697783282,9,26,5.55555555555556,0,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,10.11657854,NA,NA,NA,NA,NA
"237",1,1471,46,NA,20062014,7.6249766573296,1.01844079040432,9,129,11.1111111111111,0,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,10.11657854,NA,NA,NA,NA,NA
"238",1,1472,46,NA,20062014,7.63333333333333,1.04880884817015,9,9,0,0,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,10.11657854,NA,NA,NA,NA,NA
"239",1,1473,46,NA,20062009,7.425,0.65,4,4,0,0,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,10.11657854,NA,NA,NA,NA,NA
"240",1,1474,46,NA,20062009,7.05,1.35277492584687,4,4,0,0,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,10.11657854,NA,NA,NA,NA,NA
"241",1,1478,10,NA,20062006,6.42833333333333,NA,1,2,0,0,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,13.72572769,NA,NA,NA,NA,NA
"242",1,1478,46,NA,20062010,6.41466666666667,1.46578069831594,5,12,0,0,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,10.11657854,NA,NA,NA,NA,NA
"243",1,1479,10,7,20062014,9.80052469135802,2.77808931457214,9,79,44.4444444444444,83.3333333333333,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,13.72572769,NA,NA,NA,NA,NA
"244",1,1493,3,NA,20062013,9.707,2.67690492920462,5,7,0,0,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,10.93917413,NA,NA,NA,NA,NA
