"","IndicatorID","UnitID","GridID","Period","ES","SD","N","N_OBS","GTC","STC"
"2035",1,62,31799,20062014,67.0608333333333,78.4645737649234,4,6,0,0
"2036",1,62,31800,20062006,155.765833333333,NA,1,12,50,0
"2037",1,62,31801,20062006,258.705,NA,1,6,50,0
"2038",1,62,32021,20102014,16.66,0.395979797464463,2,2,0,0
"2039",1,62,32022,20112011,31.12,NA,1,1,0,0
"2040",1,62,32247,20092014,37.9833333333333,24.9861128095855,3,3,0,0
"2041",1,62,32469,20112011,13.95,NA,1,1,0,0
"2042",1,62,32693,20092009,17.66,NA,1,1,0,0
"2043",2,62,31576,20122012,1.56,NA,1,1,0,0
"2044",2,62,31798,20062006,0.893333333333333,NA,1,3,0,0
"2045",2,62,31799,20062014,1.13333333333333,0.287054001888146,4,6,0,0
"2046",2,62,31800,20062006,2.5075,NA,1,12,50,0
"2047",2,62,31801,20062006,2.85,NA,1,6,50,0
"2048",2,62,32021,20102014,0.98,0.311126983722081,2,2,0,0
"2049",2,62,32022,20112011,1.34,NA,1,1,0,0
"2050",2,62,32247,20092014,1.37666666666667,0.523099735550816,3,3,0,0
"2051",2,62,32469,20112011,1.02,NA,1,1,0,0
"2052",2,62,32693,20092009,0.94,NA,1,1,0,0
"2053",4,62,31801,20062006,7.14285714285714,NA,1,1,0,0
"2054",6,62,31576,20122012,0.01,NA,1,1,0,0
"2055",6,62,31799,20102014,0.01,0,3,3,0,0
"2056",6,62,32021,20102014,0.01,0,2,2,0,0
"2057",6,62,32022,20112011,0.02,NA,1,1,0,0
"2058",6,62,32247,20092014,0.01,0,3,3,0,0
"2059",6,62,32469,20112011,0.01,NA,1,1,0,0
"2060",6,62,32693,20092009,0.01,NA,1,1,0,0
"2061",301,62,31798,20062006,3.25,NA,1,6,0,0
"2062",301,62,31799,20062006,2.15,NA,1,6,0,0
"2063",301,62,31800,20062006,2.025,NA,1,12,0,0
"2064",301,62,31801,20062006,1.98333333333333,NA,1,6,0,0
"2065",1,63,1386,20062014,7.94125,1.12891956090769,6,15,8.33333333333333,0
"2066",1,63,1387,20082010,6.51858333333333,1.04664423078395,3,13,16.6666666666667,0
"2067",1,63,1423,20142014,7.06,NA,1,1,0,0
"2068",1,63,1425,20092009,5.36666666666667,NA,1,3,0,0
"2069",1,63,1462,20092010,5.96111111111111,0.79353094333157,2,10,25,0
"2070",1,63,1463,20092009,6.1625,NA,1,8,50,0
"2071",1,63,1499,20132013,7.65,NA,1,2,0,0
"2072",1,63,1500,20072013,6.95051736704534,1.6052578399293,7,118,57.1428571428571,0
"2073",1,63,1501,20082013,7.50794890873016,0.672824560919825,4,56,62.5,0
"2074",1,63,1538,20082013,7.2125,0.583363094478901,2,5,0,0
"2075",1,63,1539,20062013,7.09309090909091,0.483640227447162,5,63,60,0
"2076",1,63,1540,20082013,6.25577777777778,0.670384264230893,5,42,40,0
"2077",1,63,1542,20062014,7.36702823478186,0.91201533110443,9,135,44.4444444444444,0
"2078",1,63,1543,20062014,7.12285698068939,1.06755344603592,9,219,44.4444444444444,0
"2079",1,63,1544,20082013,7.42963492063492,0.889864373330369,5,36,30,0
"2080",1,63,1577,20122012,6.05,NA,1,2,0,0
"2081",1,63,1578,20062013,7.0812661306947,1.12939204120789,7,186,57.1428571428571,0
"2082",1,63,1579,20092009,6.25,NA,1,2,0,0
"2083",1,63,1580,20082013,7.71666666666667,1.06809799800081,3,6,0,0
"2084",1,63,1581,20062014,7.60449735449735,0.558673929575022,9,48,27.7777777777778,0
"2085",1,63,1615,20132013,8.3,NA,1,3,0,0
"2086",1,63,1616,20082013,7.15431407563025,0.863751875330544,4,57,75,0
"2087",1,63,1617,20082013,6.00680952380952,3.1643296048409,5,49,60,0
"2088",1,63,1618,20072014,6.63137012497307,0.997761672736673,8,71,43.75,0
"2089",1,63,1619,20082013,7.58222222222222,0.392434629297167,4,25,25,0
"2090",1,63,1620,20062014,7.13893217893218,0.863870802530616,9,74,50,22.2222222222222
"2091",1,63,1621,20062014,8.07847222222222,0.759179930363459,9,35,11.1111111111111,11.1111111111111
"2092",1,63,1655,20132013,7.93333333333333,NA,1,3,0,0
"2093",1,63,1656,20132013,8.775,NA,1,4,0,0
"2094",1,63,1657,20072014,7.07272727272727,0.786755776408362,8,36,18.75,0
"2095",1,63,1658,20062014,7.23032708032708,0.923762474892767,9,64,33.3333333333333,11.1111111111111
"2096",1,63,1659,20082013,8.40357142857143,0.58302226885977,4,17,25,0
"2097",1,63,1696,20072014,8.31666666666667,0.817720408615724,6,8,0,0
"2098",1,63,1697,20062014,8.70254128587462,1.10769795133497,9,61,22.2222222222222,0
"2099",1,63,1735,20082013,8.1,0.346410161513775,3,5,0,0
"2100",2,63,1386,20062014,0.573541666666667,0.0750850212536873,6,15,8.33333333333333,0
"2101",2,63,1387,20092010,0.644444444444444,0.0502831488843767,2,10,25,0
"2102",2,63,1423,20142014,0.43,NA,1,1,0,0
"2103",2,63,1425,20092009,0.533333333333333,NA,1,3,0,0
"2104",2,63,1462,20092010,0.618888888888889,0.114708433392484,2,10,25,0
"2105",2,63,1463,20092009,0.56625,NA,1,8,50,0
